base_date,local_in,foreigner_in
20210101,15261,95
20210102,9412,75
20210103,12135,70
20210104,11833,61
20210105,10939,65
20210106,11150,59
20210107,2866,44
20210108,485,19
20210109,11466,69
20210110,12117,69
20210111,12845,65
20210112,13418,59
20210113,14249,74
20210114,15422,76
20210115,17894,91
20210116,16580,81
20210117,17980,71
20210118,16120,68
20210119,15747,81
20210120,15981,92
20210121,16565,73
20210122,19863,94
20210123,18582,82
20210124,20079,94
20210125,18377,89
20210126,17840,95
20210127,18641,81
20210128,16792,98
20210129,23433,88
20210130,22493,80
20210131,20858,86
20210201,20142,88
20210202,19416,81
20210203,19678,84
20210204,21127,81
20210205,24924,103
20210206,23668,98
20210207,22789,83
20210208,20742,90
20210209,22084,95
20210210,31350,139
20210211,36133,193
20210212,28028,108
20210213,25030,105
20210214,31902,144
20210215,29557,139
20210216,25881,121
20210217,23148,112
20210218,27684,99
20210219,32021,111
20210220,30600,800
20210221,32691,115
20210222,30095,99
20210223,28345,98
20210224,28537,99
20210225,28931,98
20210226,33498,136
20210227,36001,129
20210228,26314,118
20210301,22212,105
20210302,22807,107
20210303,20917,112
20210304,22033,84
20210305,27602,94
20210306,26514,92
20210307,26198,104
20210308,26207,96
20210309,23192,102
20210310,23541,109
20210311,26907,113
20210312,32140,141
20210313,30758,112
20210314,29591,95
20210315,27458,108
20210316,24789,92
20210317,24739,103
20210318,29240,110
20210319,34578,97
20210320,32550,141
20210321,33747,123
20210322,31903,108
20210323,30393,124
20210324,30959,110
20210325,35451,169
20210326,35649,166
20210327,33460,223
20210328,31626,201
20210329,29342,190
20210330,26144,178
20210331,28238,145
20210401,35360,152
20210402,34275,146
20210403,31898,131
20210404,33643,146
20210405,34347,141
20210406,32349,143
20210407,34294,146
20210408,38739,717
20210409,39779,133
20210410,37265,128
20210411,33892,127
20210412,29381,110
20210413,32257,112
20210414,34799,121
20210415,39711,136
20210416,39932,121
20210417,37971,125
20210418,36475,107
20210419,35643,137
20210420,31918,126
20210421,32589,106
20210422,38559,126
20210423,39254,130
20210424,38004,121
20210425,37256,131
20210426,35140,131
20210427,30724,107
20210428,31803,113
20210429,37535,120
20210430,41239,110
20210501,43943,152
20210502,37868,138
20210503,30320,90
20210504,23754,82
20210505,45427,167
20210506,36799,133
20210507,34053,114
20210508,32012,107
20210509,38055,104
20210510,36669,117
20210511,32603,88
20210512,32981,92
20210513,38894,110
20210514,38845,139
20210515,39059,126
20210516,34449,103
20210517,31917,91
20210518,35756,95
20210519,40005,95
20210520,34433,99
20210521,37514,120
20210522,37230,111
20210523,37746,120
20210524,36699,102
20210525,32564,113
20210526,33265,127
20210527,39383,135
20210528,40670,157
20210529,38647,199
20210530,34574,126
20210531,31901,218
20210601,32382,103
20210602,31621,113
20210603,37803,142
20210604,40691,126
20210605,39451,161
20210606,37273,137
20210607,34688,141
20210608,30079,142
20210609,30443,134
20210610,36099,128
20210611,39811,167
20210612,39430,121
20210613,37426,158
20210614,35733,166
20210615,30986,161
20210616,33696,146
20210617,40536,150
20210618,41288,206
20210619,40930,192
20210620,41335,152
20210621,41480,194
20210622,37516,149
20210623,37403,177
20210624,42045,174
20210625,42361,176
20210626,40340,172
20210627,41515,151
20210628,39416,144
20210629,33484,156
20210630,35229,152
20210701,38173,147
20210702,36610,211
20210703,32820,227
20210704,35316,132
20210705,35007,185
20210706,30908,123
20210707,32874,138
20210708,33803,137
20210709,33979,159
20210710,36095,126
20210711,37388,157
20210712,36425,160
20210713,33211,139
20210714,34916,119
20210715,36690,135
20210716,37530,157
20210717,38020,138
20210718,36447,129
20210719,35579,128
20210720,33834,181
20210721,35817,135
20210722,35562,129
20210723,35032,112
20210724,37438,125
20210725,34392,144
20210726,33980,140
20210727,32429,139
20210728,37568,172
20210729,38927,144
20210730,42616,167
20210731,46728,181
20210801,44137,245
20210802,38372,199
20210803,34699,211
20210804,37566,221
20210805,35681,182
20210806,35895,150
20210807,35594,143
20210808,36029,125
20210809,33009,152
20210810,30086,138
20210811,34355,151
20210812,34798,131
20210813,39083,128
20210814,42083,162
20210815,34645,142
20210816,33086,116
20210817,28135,131
20210818,27032,135
20210819,26510,141
20210820,27721,144
20210821,25248,123
20210822,28674,154
20210823,20204,49
20210824,21369,73
20210825,25924,121
20210826,28443,141
20210827,31231,133
20210828,31947,123
20210829,30910,122
20210830,26901,100
20210831,22716,90
20210901,26959,141
20210902,25360,114
20210903,29645,163
20210904,29543,188
20210905,27548,135
20210906,25194,127
20210907,21623,114
20210908,25306,132
20210909,26835,124
20210910,30609,118
20210911,29357,116
20210912,26912,122
20210913,20095,110
20210914,14262,94
20210915,16663,158
20210916,21138,109
20210917,36416,205
20210918,50400,418
20210919,47875,671
20210920,36648,241
20210921,33233,172
20210922,44463,138
20210923,36853,197
20210924,34185,154
20210925,32402,128
20210926,34005,130
20210927,32137,121
20210928,25808,113
20210929,26208,116
20210930,35472,156
20211001,42657,141
20211002,44674,136
20211003,33944,101
20211004,34223,109
20211005,30218,112
20211006,30174,128
20211007,36924,120
20211008,43451,136
20211009,47173,152
20211010,36866,99
20211011,37275,115
20211012,32050,138
20211013,32443,116
20211014,37139,125
20211015,39255,135
20211016,37251,113
20211017,39222,127
20211018,37129,132
20211019,32714,123
20211020,36433,119
20211021,39757,107
20211022,40541,150
20211023,39316,125
20211024,39499,130
20211025,38775,123
20211026,35588,134
20211027,36155,129
20211028,39535,149
20211029,40412,132
20211030,40371,135
20211031,36854,148
20211101,40270,130
20211102,37107,224
20211103,39987,132
20211104,42110,126
20211105,41922,135
20211106,40951,138
20211107,39752,122
20211108,39123,111
20211109,36402,120
20211110,39272,143
20211111,42242,131
20211112,43039,157
20211113,44577,150
20211114,42822,143
20211115,42864,146
20211116,39823,154
20211117,42146,141
20211118,41743,164
20211119,43893,145
20211120,41164,155
20211121,39154,146
20211122,38903,136
20211123,35785,178
20211124,39445,135
20211125,41903,157
20211126,42128,160
20211127,40173,157
20211128,38386,124
20211129,36697,133
20211130,29901,104
20211201,37517,128
20211202,39436,136
20211203,39426,130
20211204,37469,119
20211205,36960,113
20211206,37225,109
20211207,32458,149
20211208,32524,127
20211209,35947,116
20211210,36603,125
20211211,35524,118
20211212,34940,125
20211213,34313,115
20211214,30138,98
20211215,30195,107
20211216,34504,94
20211217,34412,103
20211218,32928,105
20211219,33343,102
20211220,32442,118
20211221,28715,121
20211222,30042,105
20211223,32361,127
20211224,34767,123
20211225,32118,108
20211226,35600,119
20211227,39472,143
20211228,36086,143
20211229,38774,138
20211230,41023,122
20211231,41492,119
